Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kira Lewis Jr.,PG,19,NO,17,223,11.7,0.491,0.333,0.23,1,6.5,3.7,18.7,2.2,0.5,7.7,19.8,0.1,0.1,0.2,0.049,-2.6,-1.2,-3.8,-0.1
Damian Lillard,PG,30,POR,27,969,27.1,0.625,0.529,0.379,1.4,12.2,6.5,36.2,1.5,0.7,11.7,32.2,4.2,0.3,4.5,0.225,7.7,-1.4,6.3,2.1
Nassir Little,PF,20,POR,13,141,16.3,0.717,0.45,0.225,7.2,12.7,9.8,3.1,0.7,2.6,13.7,15.5,0.3,0,0.4,0.132,1.6,-2,-0.4,0.1
Kevon Looney,C,24,GS,21,308,13.9,0.656,0.094,0.245,11.1,18.3,14.8,16,1.1,1.7,19.3,10,0.7,0.4,1.1,0.166,-1,0.8,-0.2,0.1
Brook Lopez,C,32,MIL,28,760,13.4,0.587,0.54,0.186,6,13.6,9.9,2.8,0.8,4.3,7.9,15.4,1,0.8,1.8,0.112,0,-0.9,-0.9,0.2
Robin Lopez,C,32,WSH,26,505,15,0.632,0.088,0.445,11.4,11.2,11.3,7.2,0.5,2.4,13.7,15.5,0.9,0.2,1.1,0.108,-0.7,-2,-2.6,-0.1
Kevin Love,PF,32,CLE,2,46,11.2,0.47,0.5,0.278,4.7,25,14.5,16,1.1,0,12.9,21.7,0,0,0,0.007,-1.2,-0.8,-2.1,0
Kyle Lowry,PG,34,TOR,25,859,16.3,0.601,0.539,0.264,2.4,15.5,8.7,28.1,1.6,0.5,16.4,21.9,1.5,0.7,2.2,0.124,1.3,-0.8,0.5,0.6
Timothy Luwawu-Cabarrot,SF,25,BKN,30,590,9.8,0.538,0.637,0.124,3.4,9.9,6.8,8.4,1.5,0.7,9.8,16.5,0.2,0.3,0.5,0.042,-1.7,-1.6,-3.3,-0.2
Trey Lyles,PF,25,SA,14,165,11.6,0.575,0.417,0.417,4.3,23.2,13.5,5.6,0,0,0,11.1,0.3,0.1,0.4,0.116,-0.5,-1.1,-1.6,0
Theo Maledon,PG,19,OKC,23,538,8.2,0.525,0.563,0.15,1,10.9,6,17.3,2,0.2,19.4,17,-0.4,0.6,0.1,0.011,-4.7,-0.5,-5.1,-0.4
Terance Mann,SG,24,LAC,27,407,11.2,0.537,0.255,0.34,7.1,17.4,12.4,10,1.6,1.1,14.3,13.7,0.3,0.5,0.8,0.094,-2.5,-0.1,-2.6,-0.1
Nico Mannion,PG,19,GS,6,36,7.8,0.305,0.692,0.308,0,22.8,11.6,43,2.6,0,11.9,19.7,-0.1,0.1,0,-0.01,-5.4,0.7,-4.7,0
Boban Marjanovic,C,32,DAL,15,108,21.2,0.544,0.056,0.241,20.2,30.7,25.4,1.6,0,0,4.8,25.5,0.2,0.1,0.3,0.134,1,-5.2,-4.3,-0.1
Lauri Markkanen,PF,23,CHI,14,426,17.2,0.654,0.546,0.243,2.1,19.7,11.1,4.3,1,1,10.5,22.8,0.6,0.4,1,0.117,1.8,-1.4,0.3,0.3
Naji Marshall,SF,23,NO,3,8,-0.4,0.174,0.5,1,0,27.8,13.9,14.3,0,0,0,15.3,0,0,0,-0.151,-7,-3,-10,0
Caleb Martin,SF,25,CHA,23,363,11.9,0.496,0.42,0.21,5.5,13.4,9.4,11.3,2.7,1.9,11,17.1,0,0.4,0.4,0.058,-1.6,0,-1.6,0
Cody Martin,SF,25,CHA,17,159,13.5,0.601,0.342,0.263,6.6,16.4,11.4,13.9,2.1,0,17.5,13.7,0.2,0.2,0.3,0.105,-1,0.2,-0.7,0.1
Kelan Martin,SF,25,IND,11,43,1.4,0.389,0.444,0,2.6,25.3,14.1,0,2.2,0,18.2,22.2,-0.2,0.1,-0.1,-0.153,-8.6,-1.9,-10.5,-0.1
Kenyon Martin Jr.,SF,20,HOU,7,69,9.1,0.394,0.148,0.185,12.1,17.1,14.6,8.6,1.4,6.2,14.6,21.1,-0.2,0.1,0,-0.027,-5.9,-0.6,-6.5,-0.1
Garrison Mathews,SG,24,WSH,20,322,13.9,0.619,0.8,0.432,2.5,7.4,4.9,4.2,2.6,1.1,2.6,14.9,0.7,0.2,0.9,0.136,-0.1,0.1,-0.1,0.2
Wesley Matthews,SG,34,LAL,22,449,8.2,0.58,0.811,0.167,2.1,5.3,3.7,7.1,1.1,1.5,7.6,10.1,0.4,0.6,1,0.11,-1.8,0.2,-1.5,0
Tyrese Maxey,SG,20,PHI,28,472,13.4,0.513,0.239,0.111,1.4,10.6,6.2,15.8,1.5,0.6,7.1,22.8,0.2,0.4,0.6,0.066,-1.8,-0.9,-2.7,-0.1
